Unnamed: 0,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
35,2021-04-04,12:00 (13:00),Premier League,Matchweek 30,Sun,Home,W,3,2,Burnley,2.2,1.5,53,,James Ward-Prowse,4-4-2,Andre Marriner,Match Report,,24,8,19.0,0,0,0,2024,Southampton
29,2019-12-29,14:00 (16:00),Premier League,Matchweek 20,Sun,Away,W,2,1,Arsenal,1.4,0.5,58,60309.0,César Azpilicueta,3-4-3,Craig Pawson,Match Report,,13,4,13.7,0,0,0,2023,Chelsea
64,2023-11-25,15:00 (17:00),Premier League,Matchweek 13,Sat,Home,L,1,2,West Ham,1.3,0.9,50,21319.0,Josh Brownhill,4-4-2,Samuel Barrott,Match Report,,10,4,17.2,0,1,1,2024,Burnley
24,2021-02-02,18:00 (20:00),Premier League,Matchweek 22,Tue,Away,L,1,2,Sheffield Utd,1.6,1.3,32,,Jake Livermore,4-4-1-1,Paul Tierney,Match Report,,8,4,13.6,0,0,0,2024,West Bromwich Albion
76,2022-10-23,16:30 (17:30),Premier League,Matchweek 13,Sun,Away,W,2,1,Tottenham,1.2,1.6,47,61726.0,Kieran Trippier,4-3-3,Jarred Gillett,Match Report,,13,5,18.4,0,0,0,2023,Newcastle United
85,2020-07-04,15:00 (16:00),Premier League,Matchweek 33,Sat,Away,L,2,5,Manchester Utd,1.8,2.5,32,,Nathan Aké,4-4-2,Mike Dean,Match Report,,6,2,17.9,0,1,1,2020,Bournemouth
64,2021-12-01,20:15 (22:15),Premier League,Matchweek 14,Wed,Home,L,1,2,Manchester City,0.8,1.0,36,41400.0,Tyrone Mings,4-3-3,Mike Dean,Match Report,,9,3,13.1,0,0,0,2022,Aston Villa
60,2020-12-06,19:15 (21:15),Premier League,Matchweek 11,Sun,Away,L,0,4,Liverpool,0.4,1.2,40,2000.0,Conor Coady,4-3-3,Craig Pawson,Match Report,,9,3,18.5,1,0,0,2021,Wolverhampton Wanderers
12,2020-12-13,12:00 (14:00),Premier League,Matchweek 12,Sun,Away,L,0,3,Southampton,0.3,2.0,33,2000.0,Billy Sharp,5-3-2,Andy Madley,Match Report,,3,0,11.2,0,0,0,2024,Sheffield United
58,2021-05-01,12:30 (13:30),Premier League,Matchweek 34,Sat,Away,W,2,0,Crystal Palace,1.7,0.9,68,,Fernandinho,4-4-1-1,David Coote,Match Report,,20,3,14.6,1,0,0,2024,Manchester City
